Age (years),CI male,CI female
0,84.79,83.58
0.1,84.33,83.24
0.2,83.8,82.75
0.3,83.4,82.41
0.4,83.11,82.17
0.5,82.82,81.99
0.6,82.66,81.89
0.7,82.49,81.69
0.8,82.37,81.59
0.9,82.27,81.48
1,82.18,81.4
1.1,82.07,81.33
1.2,82,81.22
1.3,81.93,81.16
1.4,81.86,81.1
1.5,81.8,81.04
1.6,81.71,80.99
1.7,81.65,80.94
1.8,81.59,80.89
1.9,81.54,80.85
2,81.49,80.77
2.1,81.44,80.72
2.2,81.4,80.68
2.3,81.32,80.64
2.4,81.27,80.6
2.5,81.23,80.56
2.6,81.19,80.53
2.7,81.15,80.49
2.8,81.1,80.45
2.9,81.07,80.42
3,81.03,80.38
3.1,80.99,80.35
3.2,80.95,80.31
3.3,80.91,80.28
3.4,80.88,80.24
3.5,80.84,80.21
3.6,80.81,80.18
3.7,80.77,80.12
3.8,80.74,80.09
3.9,80.7,80.05
4,80.63,80.02
4.1,80.6,79.99
4.2,80.56,79.96
4.3,80.53,79.94
4.4,80.5,79.91
4.5,80.46,79.88
4.6,80.43,79.85
4.7,80.4,79.82
4.8,80.37,79.79
4.9,80.34,79.76
5,80.31,79.73
5.1,80.28,79.71
5.2,80.25,79.68
5.3,80.22,79.65
5.4,80.19,79.63
5.5,80.16,79.6
5.6,80.14,79.58
5.7,80.11,79.55
5.8,80.08,79.53
5.9,80.05,79.5
6,80.02,79.48
6.1,80,79.45
6.2,79.97,79.43
6.3,79.94,79.4
6.4,79.92,79.38
6.5,79.89,79.36
6.6,79.87,79.34
6.7,79.84,79.31
6.8,79.82,79.29
6.9,79.79,79.27
7,79.77,79.25
7.1,79.74,79.23
7.2,79.72,79.21
7.3,79.7,79.19
7.4,79.67,79.17
7.5,79.64,79.15
7.6,79.62,79.13
7.7,79.6,79.11
7.8,79.57,79.09
7.9,79.55,79.07
8,79.52,79.06
8.1,79.5,79.04
8.2,79.48,79.02
8.3,79.45,79
8.4,79.43,78.99
8.5,79.45,78.97
8.6,79.43,78.95
8.7,79.42,78.94
8.8,79.4,78.92
8.9,79.38,78.93
9,79.36,78.92
9.1,79.34,78.9
9.2,79.32,78.89
9.3,79.31,78.88
9.4,79.29,78.86
9.5,79.28,78.83
9.6,79.26,78.82
9.7,79.25,78.81
9.8,79.23,78.8
9.9,79.22,78.79
10,79.2,78.78
